Variable,Item,Stem text,Source,Response Options
RANDOM_ID,RANDOM_ID,NA,,Unique 10-digit numeric identifier
Day,Day,NA,,Open text response
actiwatch_wear,Selected Choice,"Today, have you been wearing the Actiwatch on your non-dominant hand (the hand you use less often for daily activities, such as writing or brushing your teeth)",,Yes/No
actiwatch_button_mor,Selected Choice,"After your final awakening this morning (the time you got up for the day), did you press the event marker button on the Actiwatch?",,Yes/No
actiwatch_button_eve,Selected Choice,Did you press the Actiwatch event marker right before you intended to fall asleep last night?,,Yes/No
actiwatch_led_mor,... did the red/amber light on the Actiwatch flash to confirm that the press was registered?,NA,,Yes/No
actiwatch_led_eve,... did the red/amber light on the Actiwatch flash to confirm that the press was registered?,NA,,Yes/No
activitywatch_app,"In the past week, did you open the ActivityWatch app at least once to make sure your phone kept the app active and prevented it from being put to sleep by the phone’s operating system?",NA,,Open text response
activitywatch_pc,Selected Choice,"📌 Reminder: Install ActivityWatch for PC Activity TrackingJust a quick reminder to install ActivityWatch on your personal computer used for gaming, if you haven’t already.What is ActivityWatch?ActivityWatch is a privacy-respecting app that helps track how you spend time on your device — like which apps you use and how long you use them.Why It’s Useful for the StudyIt helps us understand your gaming habits in more detail. Your data stays on your device and is only shared when you choose to export it — every two weeks (we’ll remind you).Your Privacy Matters		Your data is not shared automatically			You stay in full control			You can stop or uninstall anytime	Get Started		Go to https://activitywatch.net			Download and install ActivityWatch for your PC			Keep it running in the background while you use your computer as usual",,Open text response
employment,Selected Choice,What best describes your employment status over the last three months?,,Open text response
eduLevel,What is the highest level of education you have completed?,NA,,Open text response
ethnicity,What is your ethnicity?,NA,,"White; Mixed or multiple ethnic groups; Asian or Asian British; Black, African, Caribbean or Black British; Other ethnic group; Prefer not to say"
politicalParty,Selected Choice,Which of the following best describes your political party affiliation?,,Labour Party / Co-operative Party; Conservative and Unionist Party; Liberal Democrats; Scottish National Party (SNP); Sinn Féin; Reform UK; Democratic Unionist Party (DUP); Green Party of England and Wales; Plaid Cymru; Other (please specify); No affiliation / Independent; Prefer not to say
isWillingBMI,Are you willing to share your height and weight?,NA,,Yes/No
weight,Approximately how much do you weigh in pounds?,NA,,Numeric entry
height#1_1_1,Measurement,How tall are you?,,Numeric entry
height#1_1_2,Measurement,How tall are you?,,Numeric entry
neuroIdentify,"Do you identify as neurodivergent? (e.g., having autism, ADHD, dyslexia, dyspraxia, or another neurological condition)",NA,,Yes/No
neuroDiagnoses,Have you received formal diagnoses of neurodiverse conditions  from a qualified healthcare professional?,NA,,Yes/No
neuroIdenCondition_1,Autism Spectrum Disorder (ASD),Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_2,Attention Deficit Hyperactivity Disorder (ADHD),Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_3,Dyslexia,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_4,Dyspraxia,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_5,Dyscalculia,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_6,Tourette Syndrome,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_7,Obsessive-Compulsive Disorder (OCD),Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_8,Sensory Processing Disorder (SPD),Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_9,Nonverbal Learning Disorder (NVLD),Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_10,"Specific Learning Disability (e.g., in reading, writing, math)",Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_11,Other:,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroIdenCondition_12,Prefer not to say,Which of the following neurodiverse conditions do you identify with? (Select all that apply),,Yes/No
neuroDiagCondition_1,Autism Spectrum Disorder (ASD),Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_2,Attention Deficit Hyperactivity Disorder (ADHD),Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_3,Dyslexia,Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_4,Dyspraxia,Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_5,Dyscalculia,Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_6,Tourette Syndrome,Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_7,Obsessive-Compulsive Disorder (OCD),Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_8,Sensory Processing Disorder (SPD),Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_9,Nonverbal Learning Disorder (NVLD),Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_10,"Specific Learning Disability (e.g., in reading, writing, math)",Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
neuroDiagCondition_11,Other:,Which of the following neurodiverse conditions have you been diagnosed with? (Select all that apply),,Yes/No
